tripduration,starttime,stoptime,start_station_id,start_station_name,start_station_latitude,start_station_longitude,end_station_id,end_station_name,end_station_latitude,end_station_longitude,bikeid,usertype,birth year,gender,birth_year,duration_min,start_hour,start_wday,is_weekend,start_month,dist_m,dist_km,speed_km_min,route_key,n_route_hour,med_dur,mad_dur,n_route,med_dur_route,mad_dur_route,exp_dur,exp_mad,z_robust,ratio,proxy_anom,proxy_anom_hard,age,gender_f,iforest_score,iforest_anom
1329,2015-01-17T20:44:00Z,2015-01-17T21:06:00Z,118,Linear Park - Mass. Ave. at Cameron Ave.,42.397828,-71.130516,76,Central Sq Post Office / Cambridge City Hall at Mass Ave / Pleasant St,42.366426,-71.105495,983,Customer,1963,2,1963,22.15,20,6,1,1,4056.1797370336894,4.056179737033689,0.1831232386922659,118->76,2,22.78333333333333,0.9389800000000019,14,21.35,0.815430000000001,6.766666666666667,3.4841099999999994,4.415283482247499,3.2733990147783247,0,0,63,2,0.671700523277454,1
895,2015-01-17T22:02:00Z,2015-01-17T22:17:00Z,70,Harvard Kennedy School at Bennett St / Eliot St,42.371196,-71.121473,70,Harvard Kennedy School at Bennett St / Eliot St,42.371196,-71.121473,1077,Customer,1987,1,1987,14.916666666666666,22,6,1,1,0,0,0,70->70,1,14.916666666666666,0,3,56.13333333333333,61.10783,6.766666666666667,3.4841099999999994,2.3391913573337235,2.2044334975369457,0,0,39,1,0.6323809144078082,1
450,2015-01-18T00:08:00Z,2015-01-18T00:16:00Z,68,Central Square at Mass Ave / Essex St,42.36507,-71.1031,91,One Kendall Square at Hampshire St / Portland St,42.366277,-71.09169,1092,Customer,1967,2,1967,7.5,0,7,1,1,948.0357131364908,0.9480357131364908,0.12640476175153212,68->91,1,7.5,0,24,6.208333333333334,1.3590500000000003,6.208333333333334,1.3590500000000003,0.9504187974442926,1.2080536912751676,0,0,59,2,0.6480085526940944,1
439,2015-01-18T01:09:00Z,2015-01-18T01:16:00Z,143,EF - North Point Park,42.369885,-71.069957,95,Cambridge St - at Columbia St / Webster Ave,42.372969,-71.094445,666,Subscriber,1976,2,1976,7.316666666666666,1,7,1,1,2042.991366744393,2.042991366744393,0.27922433258465507,143->95,1,7.316666666666666,0,6,8.066666666666666,0.7907199999999998,6.766666666666667,3.4841099999999994,0.15785953945196907,1.0812807881773399,0,0,50,2,0.6355552499965927,1
1712,2015-01-18T10:20:00Z,2015-01-18T10:49:00Z,68,Central Square at Mass Ave / Essex St,42.36507,-71.1031,67,MIT at Mass Ave / Amherst St,42.3581,-71.093198,679,Customer,1989,1,1989,28.533333333333335,10,7,1,1,1124.9021025674958,1.124902102567496,0.03942413910867392,68->67,2,15.966666666666667,18.631339999999998,51,5.083333333333333,1.2849200000000007,5.083333333333333,1.2849200000000007,18.250163434299402,5.613114754098361,1,1,37,1,0.6374684401076982,1
10547,2015-01-18T10:49:00Z,2015-01-18T13:45:00Z,76,Central Sq Post Office / Cambridge City Hall at Mass Ave / Pleasant St,42.366426,-71.105495,67,MIT at Mass Ave / Amherst St,42.3581,-71.093198,796,Customer,1992,1,1992,175.78333333333333,10,7,1,1,1371.9065615132906,1.3719065615132906,0.007804531496235653,76->67,6,7.516666666666666,2.693389999999998,42,5.941666666666666,0.7289449999999994,5.941666666666666,0.7289449999999994,232.99654523546607,29.584852734922862,1,1,34,1,0.6790474948961801,1
18606,2015-01-18T10:51:00Z,2015-01-18T16:01:00Z,107,Ames St at Main St,42.3625,-71.08822,107,Ames St at Main St,42.3625,-71.08822,1047,Subscriber,\N,0,NA,310.1,10,7,1,1,0,0,0,107->107,1,310.1,0,15,9.05,4.4478,6.766666666666667,3.4841099999999994,87.06192781896479,45.827586206896555,1,1,NA,0,0.6759139133082367,1
1518,2015-01-18T12:31:00Z,2015-01-18T12:57:00Z,141,Kendall Street,42.36356016,-71.08216792,141,Kendall Street,42.36356016,-71.08216792,859,Subscriber,1970,2,1970,25.3,12,7,1,1,0,0,0,141->141,1,25.3,0,1,25.3,0,6.766666666666667,3.4841099999999994,5.319388117290596,3.7389162561576357,0,0,56,2,0.6526514825074428,1
3524,2015-01-18T12:44:00Z,2015-01-18T13:43:00Z,74,Harvard Square at Mass Ave/ Dunster,42.373268,-71.118579,84,CambridgeSide Galleria - CambridgeSide PL at Land Blvd,42.366981,-71.076472,635,Subscriber,\N,0,NA,58.733333333333334,12,7,1,1,3533.0436581111226,3.5330436581111226,0.06015397828793058,74->84,2,58.49166666666667,0.3582950000000007,2,58.49166666666667,0.3582950000000007,6.766666666666667,3.4841099999999994,14.915334667007263,8.679802955665025,0,1,NA,0,0.639103251888817,1
3495,2015-01-18T12:44:00Z,2015-01-18T13:43:00Z,74,Harvard Square at Mass Ave/ Dunster,42.373268,-71.118579,84,CambridgeSide Galleria - CambridgeSide PL at Land Blvd,42.366981,-71.076472,1097,Subscriber,\N,0,NA,58.25,12,7,1,1,3533.0436581111226,3.5330436581111226,0.060653110010491375,74->84,2,58.49166666666667,0.3582950000000007,2,58.49166666666667,0.3582950000000007,6.766666666666667,3.4841099999999994,14.776609617185835,8.608374384236454,0,1,NA,0,0.6387791517211671,1
922,2015-01-18T12:45:00Z,2015-01-18T13:00:00Z,76,Central Sq Post Office / Cambridge City Hall at Mass Ave / Pleasant St,42.366426,-71.105495,84,CambridgeSide Galleria - CambridgeSide PL at Land Blvd,42.366981,-71.076472,874,Customer,1970,2,1970,15.366666666666667,12,7,1,1,2387.8854090364266,2.3878854090364268,0.15539384440584122,76->84,1,15.366666666666667,0,4,14.758333333333333,1.3590500000000003,6.766666666666667,3.4841099999999994,2.468349162339881,2.270935960591133,0,0,56,2,0.6283665492823631,1
1143,2015-01-18T13:16:00Z,2015-01-18T13:35:00Z,110,Harvard University Gund Hall at Quincy St / Kirkland S,42.376369,-71.114025,96,Cambridge Main Library at Broadway / Trowbridge St,42.373379,-71.111075,1311,Customer,1960,1,1960,19.05,13,7,1,1,411.8748270231051,0.41187482702310513,0.02162072582798452,110->96,1,19.05,0,3,2.8833333333333333,0.7165900000000001,6.766666666666667,3.4841099999999994,3.525529714427311,2.815270935960591,0,0,66,1,0.6461395113691905,1
1870,2015-01-18T15:35:00Z,2015-01-18T16:06:00Z,142,Alewife Station at Russell Field,42.396105,-71.139459,142,Alewife Station at Russell Field,42.396105,-71.139459,1297,Customer,1981,1,1981,31.166666666666668,15,7,1,1,0,0,0,142->142,4,26.991666666666667,0.8895599999999995,10,26.991666666666667,4.86787,6.766666666666667,3.4841099999999994,7.0032232047782665,4.605911330049262,0,1,45,1,0.648579980159377,1
1265,2015-01-18T16:00:00Z,2015-01-18T16:21:00Z,105,Lower Cambridgeport at Magazine St/Riverside Rd,42.356954,-71.113687,117,Binney St / Sixth St,42.366095,-71.086388,1312,Customer,1978,2,1978,21.083333333333332,16,7,1,1,2465.2812318715387,2.465281231871539,0.1169303351085315,105->117,1,21.083333333333332,0,8,14.725000000000001,1.5196649999999978,6.766666666666667,3.4841099999999994,4.109131648158832,3.1157635467980294,0,0,48,2,0.6434977604995045,1
